0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.8235426,0.9582938,0.76725835,0.8374136,0.25193027,0.7657163,0.26301977,0.26535553,0.7853855,0.4627799,0.508722,0.2852877,0.70419264,0.4483309,0.64605314,0.33632728,0.44935188,0.73112977,0.71093243,0.56331486,0.58026534,0.5733149,0.543876,0.6654336,0.46384457,0.57790655,0.42544833,0.41651094,0.31312385,0.0034389112
0.548746,0.9582938,0.76725835,0.83741874,0.25193053,0.7657163,0.26301977,0.26535553,0.7853855,0.4627799,0.508722,0.28528625,0.70419264,0.5253625,0.64605314,0.40447456,0.44935188,0.73112977,0.6532942,0.56332666,0.58026534,0.5614965,0.54386145,0.6654336,0.38223556,0.57790655,0.50413936,0.41651103,0.31312388,0.0034389112
0.82354426,0.9582938,0.76725835,0.8374136,0.2519302,0.7657163,0.26301977,0.26535553,0.7853855,0.4627799,0.508722,0.285286,0.70419264,0.4483309,0.64605314,0.33632728,0.44935188,0.73112977,0.7109378,0.56331486,0.58026534,0.5733195,0.5438834,0.6654336,0.46384463,0.57790655,0.42544833,0.41651094,0.31312385,0.0034389112
0.8235431,0.9582938,0.76725835,0.8374136,0.25194004,0.7657163,0.26301977,0.26535553,0.7853855,0.4627799,0.508722,0.28528565,0.70419264,0.4483309,0.64605314,0.33632728,0.44935188,0.73112977,0.71093845,0.5633305,0.58026534,0.5732653,0.5438825,0.6654336,0.46384463,0.57790655,0.42544833,0.41651094,0.31312385,0.0034389112
0.5487167,0.9582938,0.76725835,0.8636881,0.31469434,0.7657163,0.26301977,0.26535553,0.7853855,0.4627799,0.508722,0.34598306,0.70419264,0.4483309,0.64605314,0.33632728,0.44935188,0.73112977,0.71093726,0.62688434,0.58026534,0.5614795,0.510031,0.6654336,0.46384466,0.57790655,0.42544833,0.41651094,0.31312385,0.0034389112
0.5487167,0.9582938,0.76725835,0.8636881,0.31469434,0.7657163,0.26301977,0.26535553,0.7853855,0.4627799,0.508722,0.34598306,0.70419264,0.4483309,0.64605314,0.33632728,0.44935188,0.73112977,0.7109387,0.62688434,0.58026534,0.5614795,0.510031,0.6654336,0.46384466,0.57790655,0.42544833,0.41651094,0.31312385,0.0034389112
0.5487214,0.9582938,0.76725835,0.8374139,0.2519302,0.7657163,0.26301977,0.26535553,0.7853855,0.4627799,0.508722,0.2852857,0.70419264,0.5253712,0.64605314,0.40465683,0.44935188,0.73112977,0.6532922,0.56331944,0.58026534,0.56148154,0.543859,0.6654336,0.38223433,0.57790655,0.5042149,0.41651103,0.31312388,0.0034389112
0.5487167,0.9582938,0.76725835,0.8636881,0.31469434,0.7657163,0.26301977,0.26535553,0.7853855,0.4627799,0.508722,0.34598306,0.70419264,0.4483309,0.64605314,0.33632728,0.44935188,0.73112977,0.71093893,0.62688434,0.58026534,0.5614795,0.510031,0.6654336,0.46384466,0.57790655,0.42544833,0.41651094,0.31312385,0.0034389112
0.5487167,0.9582938,0.76725835,0.8636881,0.31469434,0.7657163,0.26301977,0.26535553,0.7853855,0.4627799,0.508722,0.34598306,0.70419264,0.4483309,0.64605314,0.33632728,0.44935188,0.73112977,0.71093893,0.62688434,0.58026534,0.5614795,0.510031,0.6654336,0.46384466,0.57790655,0.42544833,0.41651094,0.31312385,0.0034389112
0.5487167,0.9582938,0.76725835,0.8636881,0.31469434,0.7657163,0.26301977,0.26535553,0.7853855,0.4627799,0.508722,0.34598303,0.70419264,0.4483309,0.64605314,0.33632728,0.44935188,0.73112977,0.71093875,0.62688434,0.58026534,0.5614795,0.510031,0.6654336,0.46384466,0.57790655,0.42544833,0.41651094,0.31312385,0.0034389112
